iter	Passed	Remaining
399	35696	98166
400	35779	98057
401	35877	97992
402	35970	97915
403	36060	97827
404	36155	97753
405	36243	97660
406	36338	97586
407	36426	97495
408	36509	97388
409	36599	97302
410	36684	97201
411	36768	97098
412	36858	97010
413	36945	96914
414	37036	96830
415	37125	96741
416	37211	96642
417	37311	96580
418	37400	96492
419	37492	96408
420	37577	96309
421	37667	96221
422	37750	96116
423	37839	96026
424	37920	95916
425	38007	95822
426	38101	95745
427	38190	95654
428	38277	95559
429	38367	95473
430	38454	95378
431	38542	95286
432	38633	95200
433	38722	95110
434	38812	95023
435	38899	94928
436	38986	94833
437	39074	94742
438	39160	94644
439	39246	94548
440	39331	94449
441	39421	94362
442	39516	94286
443	39600	94184
444	39689	94094
445	39774	93997
446	39863	93906
447	39972	93863
448	40059	93769
449	40141	93663
450	40227	93566
451	40318	93482
452	40400	93376
453	40488	93283
454	40573	93186
455	40660	93091
456	40743	92987
457	40830	92894
458	40917	92800
459	41006	92710
460	41093	92615
461	41182	92527
462	41268	92429
463	41358	92342
464	41445	92248
465	41533	92157
466	41625	92074
467	41710	91977
468	41799	91886
469	41887	91796
470	41980	91714
471	42060	91605
472	42143	91503
473	42230	91409
474	42314	91311
475	42397	91207
476	42484	91114
477	42567	91013
478	42652	90914
479	42739	90821
480	42826	90727
481	42910	90628
482	42994	90528
483	43082	90437
484	43166	90338
485	43249	90236
486	43337	90144
487	43423	90050
488	43512	89960
489	43598	89865
490	43687	89777
491	43776	89688
492	43863	89594
493	43953	89508
494	44041	89416
495	44127	89322
496	44218	89237
497	44306	89146
498	44392	89051
499	44480	88961
500	44565	88863
501	44649	88765
502	44733	88667
503	44821	88575
504	44911	88488
505	44993	88386
506	45080	88293
507	45166	88199
508	45259	88118
509	45342	88017
510	45427	87922
511	45516	87831
512	45601	87735
513	45692	87652
514	45778	87557
515	45868	87469
516	45954	87376
517	46042	87285
518	46130	87195
519	46216	87100
520	46273	86951
521	46361	86860
522	46446	86764
523	46531	86669
524	46618	86577
525	46708	86491
526	46794	86396
527	46879	86300
528	46966	86209
529	47052	86115
530	47136	86016
531	47223	85925
532	47307	85828
533	47389	85727
534	47480	85641
535	47567	85549
536	47652	85454
537	47740	85365
538	47825	85269
539	47912	85177
540	47998	85084
541	48090	85001
542	48177	84909
543	48265	84818
544	48352	84728
545	48434	84626
546	48521	84535
547	48606	84441
548	48694	84350
549	48779	84254
550	48861	84155
551	48944	84056
552	49027	83957
553	49114	83867
554	49201	83774
555	49284	83677
556	49369	83583
557	49451	83481
558	49535	83386
559	49636	83319
